id,slug,website_before,website_after,changed
"c72e5cf5-73b7-4eac-b088-706a6a6bc8ab","balter-brewing-company","https://www.balter.com.au/tap-room/about?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://www.balter.com.au/tap-room/about",yes
"638cd970-ed13-4844-8f6d-70d711d2d242","barossa-distilling-co","https://barossadistilling.com/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB","https://barossadistilling.com/",yes
"c933a8ff-5577-46a9-9e03-5c6a3eff994c","bcreative-patchwork-and-sewing","https://www.bcreativepatchwork.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://www.bcreativepatchwork.com/",yes
"a6c87ea1-bea7-4e82-acf1-84c7ce241faa","bellarine-spirits","https://www.bellarinespirits.com.au/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17087542723826486593","https://www.bellarinespirits.com.au/",yes
"763b80f4-27b8-4dd8-9c8c-604a3888ee3e","binna-burra-timbers-and-cabinets","https://www.localsearch.com.au/profile/binna-burra-timbers-cabinets/port-macquarie-nsw-2444/3MUI?utm_campaign=gmb&utm_medium=organic&utm_source=google","https://www.localsearch.com.au/profile/binna-burra-timbers-cabinets/port-macquarie-nsw-2444/3MUI",yes
"0c1291f5-3fd3-4e92-9716-79a8be75d873","birch-restorations","https://www.localsearch.com.au/profile/birch-restorations/bonny-hills-nsw/utW9?fbclid=PAAaZNxYOF2d2ronuEt7BRFnjr0qto31x7N1Af5u3lHkW2K2Q98FgNKiSVXfk","https://www.localsearch.com.au/profile/birch-restorations/bonny-hills-nsw/utW9",yes
"790d2649-15a2-46c5-8526-43f284d94931","black-gate-distillery-mendooran","https://www.blackgatedistillery.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11264087470386142378","https://www.blackgatedistillery.com/",yes
"7bebd615-eb84-43e5-94e3-1a4f3134339f","blackhearts-sparrows-brew","https://www.blackheartsandsparrows.com.au/?utm_source=google&utm_medium=organic&utm_campaign=FitzroyNorthGMB&utm_content=GMB","https://www.blackheartsandsparrows.com.au/",yes
"4ca7f5f5-3cd0-47a4-a22c-5434ab7df7e7","blacklist-coffee-roasters","https://blacklistcoffee.com.au/?utm_source=google&utm_medium=gmb&utm_campaign=welshpool","https://blacklistcoffee.com.au/",yes
"1a1692a9-93db-4e7f-8f69-2ae546e0f027","brandy-creek-estate","https://brandycreekestate.com.au/?utm_source=Google_My_Business&utm_medium=Organic&utm_campaign=Brandy+Creek+Estate+VIC","https://brandycreekestate.com.au/",yes
"4a0aca3a-ce79-406c-8316-129636b42777","bress-wines","https://www.visitmacedonranges.com/tourism-listing/hanging-rock/?utm_medium=organic&utm_source=google&utm_campaign=gbp-listing-hanging-rock","https://www.visitmacedonranges.com/tourism-listing/hanging-rock/",yes
"25ed3283-9719-44c6-ab7e-da0abe114302","brown-brothers-patricia","https://www.brownbrothers.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb","https://www.brownbrothers.com.au/",yes
"a224bb65-4494-4de2-89cd-f6bbb925b65f","brown-brothers-winery","https://www.brownbrothers.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb","https://www.brownbrothers.com.au/",yes
"a8b295aa-38c3-4281-a427-1e80588771aa","bulli-glass","https://www.bulliglass.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://www.bulliglass.com.au/",yes
"0a7f9080-5a3b-4c1b-acbb-4d5a00f8eafe","bushy-art-gallery","https://instagram.com/bruneldoubre?igshid=MzMyNGUyNmU2YQ==&utm_source=qr","https://instagram.com/bruneldoubre?igshid=MzMyNGUyNmU2YQ==",yes
