candidate_region_name,listing_count,listings_with_coords,any_already_in_live_polygon,avg_lat,avg_lng,sample_slugs
Pokolbin,34,34,no,-32.7707,151.2971,peterson-house-hunter-valley-winery; wild-ren-wines; vinden-wines; calais-estate-winery; moorebank-vineyard
Orange,22,22,no,-33.3001,149.0665,mayfield-vineyard; highland-heritage-cellar-door; printhie-wines; nashdale-lane-wines; orange-mountain-estate-wines
